Fitting model for regional R2: RF Full Features + Cambridge/London Distance

Regional performance by msoa21: RF Full Features + Cambridge/London Distance
   msoa21  n_test actual_mean predicted_mean    MAE   RMSE MAPE_% median_abs_error mean_residual R2_log_price R2_price
E02003790     341     394,403        389,360 38,144 62,701  10.92           23,097         5,043       0.8124   0.8016
E02003737     622     287,963        282,982 29,192 47,343  10.62           16,277         4,981       0.8162   0.7982
E02003720     183     392,541        390,937 46,115 67,272  12.67           32,375         1,603       0.8341   0.7890
E02007085     270     382,527        381,895 42,754 65,101  12.95           23,369           632       0.7669   0.7883
E02003725      92     489,725        483,197 48,192 68,442  10.02           26,388         6,529       0.8117   0.7860
E02003775     282     375,562        367,745 41,444 58,919  10.94           24,334         7,817       0.8309   0.7820
E02003734     415     332,026        326,372 42,896 62,306  13.82           26,733         5,655       0.7787   0.7793
E02003727     287     415,072        409,840 40,586 53,298  10.48           32,271         5,233       0.7814   0.7750
E02007086     313     389,292        376,381 63,284 88,459  25.78           41,300        12,911       0.6545   0.7570
E02003733     489     345,144        336,293 35,653 59,458  10.20           14,835         8,851       0.7943   0.7555
E02003793      57     444,464        458,672 49,201 67,366  12.61           35,351       -14,208       0.7497   0.7532
E02003792      68     442,647        435,007 54,479 70,139  13.38           44,854         7,640       0.8086   0.7423
E02003721     200     370,881        357,277 45,929 65,547  13.72           27,510        13,605       0.6732   0.7213
E02003781     175     400,913        392,185 44,367 70,847  13.31           22,652         8,728       0.6750   0.7052
E02003789     182     335,015        334,278 33,462 56,330  11.52           19,339           736       0.7038   0.6914
E02007087     205     439,402        422,630 55,321 88,834  15.62           33,826        16,772       0.5829   0.6696
E02003787      92     417,672        421,229 62,514 91,612  20.09           37,545        -3,557       0.5867   0.6618
E02003723      55     465,309        470,915 63,584 88,378  16.02           54,424        -5,606       0.6397   0.6528
E02003724     202     386,026        382,113 46,768 68,737  13.31           27,498         3,914       0.6675   0.6519
E02003731     137     467,559        448,862 51,726 82,649  12.04           25,626        18,697       0.5728   0.5849



