train_r2_mean,train_r2_std,test_r2_mean,test_r2_std,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,train_mae_mean,test_mae_mean,split_mode,cv_mode,target,feature_set,metric_scope,min_rows,model,feature_case,run_name,run_dir,generalisation_gap_r2,generalisation_gap_rmse,test_r2_ci95_halfwidth,test_rmse_ci95_halfwidth,feature_label
0.6309096451987042,0.0008433984913553,0.6306185368992947,0.007520608783311,87622.37267444633,131.28266177530952,87646.0391798608,1170.151733672091,67069.21074482384,67092.57550258901,stratified,kfold,price_sold,rooms_distance_spatial,overall_test_dataset,200,Linear,Reduced,pooled_linear_cross_validation_reduced_features_stratified_price_sold,outputs/Final Results/Linear/pooled_linear_cross_validation_reduced_features_stratified_price_sold,0.0002911082994094816,23.666505414468702,0.01474039321528956,2293.4973979972983,house + space
0.7788066165931659,0.0022991165914699,0.7693736484316132,0.0036244342087581,67789.93037527989,288.5416157437364,69260.98882148364,647.7451163884896,49185.45054757211,50182.98390690233,stratified,kfold,price_sold,rooms_distance_spatial,overall_test_dataset,200,MLP,Reduced,pooled_mlp_cross_validation_reduced_features_stratified_price_sold,outputs/Final Results/MLP/pooled_mlp_cross_validation_reduced_features_stratified_price_sold,0.009432968161552702,1471.0584462037514,0.0071038910491658756,1269.5804281214396,house + space
0.86565606950022,0.0004093058192936,0.8438217919399926,0.0044439853734403,52863.71876550148,110.97925198077134,56990.437307474574,1075.9608166678424,34763.054393502636,37599.0870002735,stratified,kfold,price_sold,rooms_distance_spatial,overall_test_dataset,200,Random Forest,Reduced,pooled_random_forest_cross_validation_reduced_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_reduced_features_stratified_price_sold,0.021834277560227378,4126.718541973096,0.008710211331942988,2108.8832006689713,house + space
0.6337632410546564,0.0008253650871119,0.6334524489789258,0.0073519602983008,87282.99746114714,132.47124144797976,87309.59189341417,1180.0429907170026,66709.45721720633,66733.44327307868,stratified,kfold,price_sold,rooms_distance_spatial_time,overall_test_dataset,200,Linear,Time,pooled_linear_cross_validation_time_features_stratified_price_sold,outputs/Final Results/Linear/pooled_linear_cross_validation_time_features_stratified_price_sold,0.00031079207573059264,26.594432267025695,0.014409842184669569,2312.884261805325,house + space + time
0.7844953733654447,0.0058114521060684,0.7701502551964218,0.00298370987925,66909.07594097618,944.6493826338074,69143.51373196805,302.3980604534323,48778.38425857975,50460.87621489294,stratified,kfold,price_sold,rooms_distance_spatial_time,overall_test_dataset,200,MLP,Time,pooled_mlp_cross_validation_time_features_stratified_price_sold,outputs/Final Results/MLP/pooled_mlp_cross_validation_time_features_stratified_price_sold,0.014345118169022952,2234.4377909918694,0.00584807136333,592.7001984887273,house + space + time
0.945795403978388,0.0002814800240888,0.8997284090959248,0.0034742759669839,33578.84863598586,97.42620240097646,45661.95625651347,930.3514594802716,18455.232440905325,25462.69958510834,stratified,kfold,price_sold,rooms_distance_spatial_time,overall_test_dataset,200,Random Forest,Time,pooled_random_forest_cross_validation_time_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_time_features_stratified_price_sold,0.04606699488246324,12083.107620527611,0.006809580895288443,1823.4888605813323,house + space + time
0.7051211833927229,0.0005190855737514,0.7045550946991962,0.0046453838127793,78319.61269388856,99.35627595002558,78386.30730073496,892.5377322927749,58548.77833812047,58596.27884805242,stratified,kfold,price_sold,rooms_distance_spatial_socio_time,overall_test_dataset,200,Linear,Full,pooled_linear_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Linear/pooled_linear_cross_validation_full_features_stratified_price_sold,0.0005660886935267007,66.69460684640217,0.009104952273047428,1749.3739552938387,full
0.8315059323161205,0.0040032225466894,0.8112668168626639,0.0045104780380575,59162.80426807399,632.4185628203037,62653.80903947099,858.7198838031325,42174.12754456399,44488.12017465286,stratified,kfold,price_sold,rooms_distance_spatial_socio_time,overall_test_dataset,200,MLP,Full,pooled_mlp_cross_validation_full_features_stratified_price_sold,outputs/Final Results/MLP/pooled_mlp_cross_validation_full_features_stratified_price_sold,0.02023911545345658,3491.004771396998,0.0088405369545927,1683.0909722541396,full
0.94637887050118,0.0002552669662922,0.9003276671496154,0.0034130045828893,33397.66489748367,95.68563073685723,45525.82027718386,940.8482479704562,18282.439917337695,25300.954594410985,stratified,kfold,price_sold,rooms_distance_spatial_socio_time,overall_test_dataset,200,Random Forest,Full,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold,0.04605120335156454,12128.15537970019,0.006689488982463028,1844.0625660220942,full
